    FSM,     .,        .,        ., 1973, 1973, 14,   -99,   ACY,    .,      .,      .,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 15,     1,   ACY,    .,0.02648,0.02648,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 16,     1,   ACY,    .,0.04492,0.07140,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 17,     1,   ACY,    .,0.07637,0.14777,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 18,     1,   ACY,    .,0.12185,0.26962,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 19,     1,   ACY,    .,0.17820,0.44782,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 20,     1,   ACY,    .,0.24142,0.68924,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 21,     1,   ACY,    .,0.29706,0.98630,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 22,     1,   ACY,    .,0.34234,1.32864,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 23,     1,   ACY,    .,0.37931,1.70795,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 24,     1,   ACY,    .,0.40760,2.11555,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 25,     1,   ACY,    .,0.42334,2.53889,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 26,     1,   ACY,    .,0.42779,2.96668,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 27,     1,   ACY,    .,0.43039,3.39707,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 28,     1,   ACY,    .,0.43227,3.82934,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 29,     1,   ACY,    .,0.42904,4.25838,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 30,     1,   ACY,    .,0.41981,4.67819,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 31,     1,   ACY,    .,0.40508,5.08327,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 32,     1,   ACY,    .,0.38577,5.46904,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 33,     1,   ACY,    .,0.36534,5.83438,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 34,     1,   ACY,    .,0.34429,6.17867,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 35,     1,   ACY,    .,0.32123,6.49990,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 36,     1,   ACY,    .,0.29620,6.79610,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 37,     1,   ACY,    .,0.27078,7.06688,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 38,     1,   ACY,    .,0.24512,7.31200,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 39,     1,   ACY,    .,0.21832,7.53032,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 40,     1,   ACY,    .,0.19025,7.72057,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 41,     1,   ACY,    .,0.16129,7.88186,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 42,     1,   ACY,    .,0.13170,8.01356,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 43,     1,   ACY,    .,0.10232,8.11588,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 44,     1,   ACY,    .,0.07393,8.18981,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 45,     1,   ACY,    .,0.04914,8.23895,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 46,     1,   ACY,    .,0.02888,8.26783,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 47,     1,   ACY,    .,0.01453,8.28236,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 48,     1,   ACY,    .,0.00601,8.28837,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 49,     1,   ACY,    .,0.00162,8.28999,      STAT,    FSM_01,   9,    1
    FSM,     .,        .,        ., 1973, 1973, 50,    99,   ACY,    .,      .,      .,      STAT,    FSM_01,   9,    1
